participantID,initial_prompt_date,answer_status,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled
grumblystiffnessuntainted,2021-02-17,Completed,4.0,2.0,5.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,0.0
grumblystiffnessuntainted,2021-02-18,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
grumblystiffnessuntainted,2021-02-19,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
grumblystiffnessuntainted,2021-02-20,Completed,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-02-21,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
grumblystiffnessuntainted,2021-02-22,Completed,4.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
grumblystiffnessuntainted,2021-02-23,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
grumblystiffnessuntainted,2021-02-24,Completed,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,-1.0,2.0,1.0,3.0,2.0,2.0,0.0
grumblystiffnessuntainted,2021-02-25,Completed,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-02-26,Completed,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0
grumblystiffnessuntainted,2021-02-27,Completed,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-02-28,Completed,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-03-01,Completed,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,0.0
grumblystiffnessuntainted,2021-03-02,Completed,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-03-03,Completed,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0
grumblystiffnessuntainted,2021-03-04,Completed,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-03-05,Completed,3.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0
grumblystiffnessuntainted,2021-03-06,Completed,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,-1.0,0.0
grumblystiffnessuntainted,2021-03-07,Completed,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,-1.0,0.0
grumblystiffnessuntainted,2021-03-08,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
grumblystiffnessuntainted,2021-03-09,Completed,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0
grumblystiffnessuntainted,2021-03-10,Completed,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,-1.0,0.0
grumblystiffnessuntainted,2021-03-10,Completed,2.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,0.0
grumblystiffnessuntainted,2021-03-11,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
grumblystiffnessuntainted,2021-03-12,Completed,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-03-13,Completed,3.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,0.0
grumblystiffnessuntainted,2021-03-14,Completed,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,-1.0,0.0
grumblystiffnessuntainted,2021-03-15,Completed,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,-1.0,0.0
grumblystiffnessuntainted,2021-03-16,Completed,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0
grumblystiffnessuntainted,2021-03-17,Completed,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,-1.0,0.0
grumblystiffnessuntainted,2021-03-18,Completed,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0
grumblystiffnessuntainted,2021-03-19,Completed,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0
